Marina@;Э-э, вспомни, в каких городах и странах ты была, и расскажи о тех, в которых тебе больше всего понравилось.
Алёна@;А была, когда я была взрослой или когда я была маленькой?
Алёна@;Или вообще?
Marina@;Вообще.
Алёна@;Вообще?.. 
Алёна@;Э-э, вообще... самое, э-э, интересное воспоминание у меня о Сахалине.
Алёна@;Я туда ехала с родителями, когда мне было четыре года, ну почти пять.
Алёна@;Я очень боялась туда ехать, потому что родители объяснили мне, что это остров, и в моём понимании остров... э-э... а они мне, наверное, объяснили, что остров омывается со всех сторон водой и добраться до него можно было только на теплоходе. 
Алёна@;А я очень сильно боюсь воды, ты же знаешь.
Алёна@;Боюсь моря, боюсь в бассейне плавать, если я н... чувствую, что я не достаю дна.
Алёна@;Э-э, и когда... папа купил билеты на самолет и сказал, что мы полетим самолетом, я очень сильно обрадовалась.
Алёна@;Поскольку я прожила там очень долго, я в первый класс там пошла, я даже сейчас, мне кажется, ощущаю иногда запах.
Алёна@;Вот запах...
Алёна@;Ассоциации такие, вот у кого-то возникают ассоциации, там, при виде чего-то, у меня возникают ассоциации при ощущении запаха, особенно вот запах осени, листвы, грибов. 
Алёна@;И очень яркое вппечатление у меня осталось, ну, наверное, от Кипра.
Алёна@;Кипр...
Алёна@;Когда прилетаешь, кажется, что такая выжженая местность, выжженая солнцем, но когда находишься непосредственно уже в городе, в курортной зоне, то очень живописные такие места.
Алёна@;И, помнишь, наши впечатления о цвете моря, хах? Когда мы воскликнули: "Ах, как на плакате".
Алёна@;Что еще?..
Алёна@;Ну Барселона, наверное, произвела впечатление, потому что в первый раз я там побывала в девяностых годах и после такой достаточно суровой серой Москвы Барселона и маленькие городки, которые находятся недалеко от нее, такие достаточно живописные места. 
Алёна@;Где еще я была а, Санкт-Петербург!
Алёна@;Да, Санкт-Петербург.
Алёна@;Культурная столица, где меня поразила достаточно такая, бросающаяся в глаза неухоженность улиц, э-э, неудобство транспорта общественного, что еще...
Алёна@;Ну и в то же время контраст: очень красивые исторические места.
Алёна@;Э-э, что еще? Анапа! Вот, Анапа!
Алёна@;Первый раз в Анапе мы были, когда учились на четвертом курсе, поехали в сентябре - да, могли себе позволить - в преподавательскую смену.
Алёна@;Там встретили своих преподавателей, аспирантов, и на вопрос, а что мы здесь делаем, мы ответили: "Отдыхаем!".
Алёна@;Погода была не всегда хорошая, поэтому отдыхали мы... э-э... на море... в общем, на море ходили редко, потому что было холодно, вот.
Алёна@;Что еще рассказать...
Marina@;Ну а в каких, может быть, городах хотела бы побывать?
Алёна@;Хотела бы?..
Алёна@;Я бы хотела бы съездить на Сахалин.
Алёна@;Сейчас, уже будучи взрослым человеком.
Алёна@;Я бы хотела съездить в Калининград, видишь, какой разброс: от одного до другого побережья.
Алёна@;Наверное, я бы съездила на Камчатку.
Алёна@;А!
Алёна@;Еще мне интересно было бы съездить на Алтай, вот, очень интересно было бы побывать там.
Алёна@;А из стран...
Алёна@;Ну наверное, в Италию.
Алёна@;Э-э...
Алёна@;Во Францию?..
Алёна@;Нет, наверное, во Францию не хочу, не знаю даже...
Marina@;Почему?
Алёна@;На Кипр хотела бы!
Marina@;Почему во Францию не хочешь?
Алёна@;Во Францию не хочу?.. 
Алёна@;Не знаю, вот как-то...
Алёна@;Вот когда произношу слово "Франция", вот что-то не греет.
Алёна@;Э-э, куда еще?..
Алёна@;Наверное, в Финляндию бы съездила зимой, под Новый год, вот наверное да, туда съездила бы.
Алёна@;Никогда не была в Прибалтике, интересно было бы посмотреть.
Алёна@;Ну, Калининград, я думаю, заменит все эти республики вместе взятые, я так думаю.
