34937;# doc = travelling.2.txt;;;;;;;;;;;;;;;;
34938;# speaker = Марина;;;;;;;;;;;;;;;;
34939;# sent = 2618;;;;;;;;;;;;;;;;
34940;;Э;Э-Э;INTJ;;;   _Э_ , вспомни ,;э;;;;;;INTJ;Э;S - - nonflex -;Э
34941;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34942;;вспомни;ВСПОМНИТЬ;V pf - sg imper - 2p;;; Э , _вспомни_ , в каких;и;н;м;о;п;с;V;ВСПОМНИТЬ;V pf - sg imper - 2p;Ь
34943;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34944;;в;В;PR;;;, вспомни , _в_ каких  гродах;в;;;;;;PR;В;PR;В
34945;;каких;КАКОЙ;APRO - loc pl plen - -;;;вспомни , в _каких_  гродах ;х;и;к;а;к;;APRO;КАКОЙ;A - gen pl plen - -;Й
34946;"<distinct form=""";;;;;;;;;;;;;;;;
34947;<dist>;гродах;;;;;;;;;;;;;;;
34948;""">";;;;;;;;;;;;;;;;
34949;;городах;ГОРОД;S m inan loc pl;;; гродах  _городах_  и странах;х;а;д;о;р;о;S;ГОРОД;S m inan loc pl;Д
34950;</distinct>;;;;;;;;;;;;;;;;
34951;;и;И;CONJ;;; городах  _и_ странах ты была;и;;;;;;CONJ;И;CONJ;И
34952;;странах;СТРАНА;S f inan loc pl;;;городах  и _странах_ ты была ,;х;а;н;а;р;т;S;СТРАНА;S f inan loc pl;А
34953;;ты;ТЫ;SPRO sg 2p - nom;;; и странах _ты_ была , ;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
34954;;была;БЫТЬ;V ipf praet sg indic f -;;;и странах ты _была_ ,  иии;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34955;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34956;"<distinct form=""";;;;;;;;;;;;;;;;
34957;<dist>;иии;;;;;;;;;;;;;;;
34958;""">";;;;;;;;;;;;;;;;
34959;;и;И;CONJ;;; иии  _и_  расскажи о;и;;;;;;CONJ;И;CONJ;И
34960;</distinct>;;;;;;;;;;;;;;;;
34961;;расскажи;РАССКАЗАТЬ;V pf - sg imper - 2p;;; и  _расскажи_ о тех ,;и;ж;а;к;с;с;V;РАССКАЗАТЬ;V pf - sg imper - 2p;Ь
34962;;о;О;PR;;;и  расскажи _о_ тех , в;о;;;;;;PR;О;PR;О
34963;;тех;ТОТ;APRO - loc pl plen - -;;; расскажи о _тех_ , в которых;х;е;т;;;;SPRO;ТОТ;A - gen pl plen - -;Т
34964;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34965;;в;В;PR;;;о тех , _в_ которых тебе больше;в;;;;;;PR;В;PR;В
34966;;которых;КОТОРЫЙ;APRO - loc pl plen - -;;;тех , в _которых_ тебе больше всего;х;ы;р;о;т;о;APRO;КОТОРЫЙ;A - gen pl plen - -;Й
34967;;тебе;ТЫ;SPRO sg 2p - dat;;;, в которых _тебе_ больше всего понравилось;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - dat;Ы
34968;;больше;МНОГО;ADV comp;;;в которых тебе _больше_ всего понравилось .;е;ш;ь;л;о;б;ADV;МНОГО;ADV comp;О
34969;;всего;ВСЕ;S n inan gen sg;;;которых тебе больше _всего_ понравилось . ;о;г;е;с;в;;S;ВСЕ;S n inan gen sg;Е
34970;;понравилось;ПОНРАВИТЬСЯ;V pf praet sg indic n -;;;тебе больше всего _понравилось_ .  ;ь;с;о;л;и;в;V;ПОНРАВИТЬСЯ;V pf praet sg indic n -;Я
34971;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
34972;;;;;;;;;;;;;;;;;
34973;# sent = 2619;;;;;;;;;;;;;;;;
34974;# speaker = Алёна;;;;;;;;;;;;;;;;
34975;# sent = 2620;;;;;;;;;;;;;;;;
34976;;А;А;CONJ;;;   _А_ была , когда;а;;;;;;CONJ;А;CONJ;А
34977;;была;БЫТЬ;V ipf praet sg indic f -;;;  А _была_ , когда я;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34978;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34979;;когда;КОГДА;CONJ;;;А была , _когда_ я была взрослой;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
34980;;я;Я;SPRO sg 1p - nom;;;была , когда _я_ была взрослой или;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
34981;;была;БЫТЬ;V ipf praet sg indic f -;;;, когда я _была_ взрослой или когда;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34982;;взрослой;ВЗРОСЛЫЙ;A - ins sg plen f -;;;когда я была _взрослой_ или когда я;й;о;л;с;о;р;A;ВЗРОСЛЫЙ;A - ins sg plen f -;Й
34983;;или;ИЛИ;CONJ;;;я была взрослой _или_ когда я была;и;л;и;;;;CONJ;ИЛИ;CONJ;И
34984;;когда;КОГДА;CONJ;;;была взрослой или _когда_ я была маленькой;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
34985;;я;Я;SPRO sg 1p - nom;;;взрослой или когда _я_ была маленькой ?;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
34986;;была;БЫТЬ;V ipf praet sg indic f -;;;или когда я _была_ маленькой ? ;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34987;;маленькой;МАЛЕНЬКИЙ;A - ins sg plen f -;;;когда я была _маленькой_ ?  ;й;о;к;ь;н;е;A;МАЛЕНЬКИЙ;A - ins sg plen f -;Й
34988;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
34989;;;;;;;;;;;;;;;;;
34990;# sent = 2621;;;;;;;;;;;;;;;;
